"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,522,540,1.30E-03,97.5,95.25,980,,1300,03/25/15,4 yrs.,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2015-014A,40536,"Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary/strategic imaging role.",
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",South Korea,South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,535,552,1.23E-03,97.6,95.5,1400,,1400,08/22/13,5 yrs.,Korea Aerospace Research Institute (KARI),South Korea,Dombarovsky Air Base,Dnepr,2013-042A,39227,To develop the first Korean SAR (Synthetic Aperture Radar) Satellite,
Kondor (Cosmos 2487),Russia,Russia,Ministry of Defense,Military,Earth Observation,Radar Imaging,LEO,Polar,0,497,501,2.91E-04,74.73,94.6,1150,,,06/27/13,,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2013-032A,39194,Radar imaging satellite.,
Koreasat 5 (Mugungwha 5),South Korea,South Korea,KT Corporation/Korean Agency for Defense Development (ADD),Military/Commercial,Communications,,GEO,,113.08,35780,35792,1.42E-04,0.02,1436.1,4450,,,08/22/06,,Alcatel Alenia Space,France,Sea Launch Odyssey,Zenit 3SL,2006-034A,29349,"24 Ku-band, 8 SHF-band, and 4 Ka-band transponders for commercial and military use.",
Koreasat 6 (Mugungwha 6),South Korea,South Korea,KT Corporation,Commercial,Communications,,GEO,,116,35780,35794,1.66E-04,0.05,1436.12,2850,1150,,12/29/10,15 yrs.,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5,2010-070B,37265,Enhanced HD and 3D satellite TV programs. 30 Ku-and transponders. Will replace Koreasat 3.,
Koreasat 7 (Mugungwha 7),NR (9/17),South Korea,KT Corporation,Commercial,Communications,,GEO,,116,35781,35791,1.19E-04,0,1436.08,3680,,,05/04/17,15 yrs.,Thales Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2017-023A,42691,,
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,671,675,2.84E-04,57,98.2,14500,,,10/24/97,5 yrs.,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,1997-064A,25017,"$1 billion range; space-based imaging radar, uses radar pulses to see through clouds, fog, haze, darkness and generate images.",
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,574,676,7.29E-03,68,97.21,14500,,,08/17/00,9 yrs.,Lockheed Martin Astronautics,USA,Vandenberg AFB,Titan IV,2000-047A,26473,$1 billion range; 3-10 ft. image resolution.,
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0,713,716,2.12E-04,57.01,99.08,14500,,,04/30/05,9 yrs.,Lockheed Martin Astronautics,USA,Cape Canaveral,Titan 4B,2005-016A,28646,$1 billion range.,
Landsat 7 ,USA,USA,National Aeronautics and Space Administration (NASA)/US Geological Survey,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,702,703,7.07E-05,98.2,98.8,2744,2200,1500,04/15/99,15 yrs.,Lockheed Martin Missiles and Space,USA,Vandenberg AFB,Delta 2,1999-020A,25682,Remote sensing; polar orbit.,
Landsat 8,USA,USA,National Aeronautics and Space Administration (NASA)/US Geological Survey,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,700,705,3.53E-04,98.2,98.8,2780,1512,4300,02/11/13,5 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Atlas 5,2013-008A,39084,Replacement for Landsat 5.,
LaoSat-1,NR,Laos,Laos National Authority for Science and Technology,Government,Communications,,GEO,,128.5,35788,35800,1.42E-04,0.1,1436.1,3800,,,11/20/15,15 yrs.,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,2015-067A,41034,First satellite for Laos - co-owned with the China Asia-Pacific Mobile Telecommunications Satellite Co. ,
LAPAN A2,NR,Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation,Earth Science,LEO,Equatorial,0,631,650,1.36E-03,6,97.53,68,,32,09/24/15,,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Centre,PSLV C-30,2015-052B,40931,"Disaster mitigation monitoring by Earth observation, also for land use, natural resources and environment monitoring.",
LAPAN A3,NR (12/16),Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,501,517,1.16E-03,97.5,94.8,115,,37,06/22/16,,Indonesian National Institute of Aeronautics and Space,Indonesia,Satish Dhawan Space Centre,PSLV XL,2016-040E,41603,Experimental remote sensing mission. Carries AIS and amateur radio.,
LAPAN-Tubsat (LAPAN A1),NR,Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,617,637,1.43E-03,97.7,97.2,60,,14,01/10/07,,Technical University of Berlin,Germany,Satish Dhawan Space Centre,PSLV C7,2007-001A,29709,Video camera surveillance microsatellite; based on German DLR-Tubsat; will perform experiments in attitude control and earth observation.,
LatinSat A,NR,Argentina,Aprize Satellite Argentina,Commercial,Communications,,LEO,Non-Polar Inclined,0,610,668,4.14E-03,64.6,97.5,,12,,12/20/02,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058H,27612,"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.",
LatinSat B ,NR,Argentina,Aprize Satellite Argentina,Commercial,Communications,,LEO,Non-Polar Inclined,0,603,717,8.11E-03,64.6,97.9,,12,,12/20/02,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr LV,2002-058B,27606,"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services.",
Lemur-1,USA,USA,Spire Global Inc.,Commercial,Technology Development,,LEO,Sun-Synchronous,0,612,697,6.05E-03,97.98,97.82,4,,,06/19/14,,NanoSatisfi Inc.,USA,Dombarovsky Air Base,Dnepr,2014-033AL,40044,Prototype. Earth imaging constellation.,
Lemur-2 Chris (Lemur-2 F4),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,635,649,9.98E-04,6,97.57,10,,,09/28/15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052G,40936,,
Lemur-2 Jeroen (Lemur-2 F3),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,635,649,9.98E-04,6.01,97.57,10,,,09/28/15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052F,40935,,
Lemur-2 Joel (Lemur-2 F1),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,629,649,1.43E-03,6,97.49,10,,,09/28/15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052D,40933,Start of a 100-satellite constellation for full worldwide weather and other data every five minutes.,
Lemur-2 Peter (Lemur-2 F2),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Equatorial,0,634,650,1.14E-03,6.01,97.56,10,,,09/28/15,,Spire Global,USA,Satish Dhawan Space Centre,PSLV C-30,2015-052E,40934,,
Lemur-2-AndiS (Lemur 2F47),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,586,598,8.62E-04,97.6,96.5,10,,,07/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042P,42838,,
Lemur-2-Angela (Lemur 2F31),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,476,490,1.02E-03,51.64,94.2,10,,,04/18/17,,Spire Global,USA,International Space Station - Cygnus,Nanoracks Deployer,2017-019C,42753,,
Lemur-2-Anubhavthakur (Lemur 2-F16),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,498,507,6.55E-04,51.6,94.6,10,,,10/17/16,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062E,41873,,
Lemur-2-ArtFischer (Lemur 2F43),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,585,601,1.15E-03,97.6,96.5,10,,,07/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042BJ,42881,,
Lemur-2-Austintacious (Lemur2-F20),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,396,408,8.86E-04,51.6,92.6,10,,,12/09/16,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,1998-067LD,42068,,
Lemur-2-Dembitz (Lemur 2F49),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,586,596,7.18E-04,97.6,96.5,10,,,07/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042T,42842,,
Lemur-2-Furiaus (Lemur 2F45),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,584,601,1.22E-03,97.6,96.5,10,,,07/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042R,42840,,
Lemur-2-Greenberg (Lemur 2F42),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,585,602,1.22E-03,97.6,96.5,10,,,07/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042N,42837,,
Lemur-2-JennyBarna (Lemur 2F30),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,476,490,1.02E-03,51.64,94.2,10,,,04/18/17,,Spire Global,USA,International Space Station - Cygnus,Nanoracks Deployer,2017-019B,42752,,
Lemur-2-Jobanputra (Lemur 2-F22),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,02/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008BB,41997,,
Lemur-2-KungFoo (Lemur 2F37),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,510,1.02E-03,97.45,94.6,10,,,06/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036K,24774,,
Lemur-2-Lisasaurus (Lemur 2F40),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,508,8.73E-04,97.45,94.6,10,,,06/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036R,42780,,
Lemur-2-LucyBryce (Lemur 2F36),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,94.6,10,,,06/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036J,24773,,
Lemur-2-Lynsey-Symo (Lemur 2F41),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,508,8.73E-04,97.45,94.6,10,,,06/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036Q,42779,,
Lemur-2-McPeake (Lemur 2F38),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,510,1.02E-03,97.45,94.6,10,,,06/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036T,42782,,
Lemur-2-Mia-Grace (Lemur 2F27),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,02/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AW,41992,,
Lemur-2-Monson (Lemur 2F44),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,585,601,1.15E-03,97.6,96.5,10,,,07/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042Q,42839,,
Lemur-2-NoguesCorreig (Lemur 2F28),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,02/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008BA,41996,,
Lemur-2-PeterG (Lemur 2F48),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,586,596,7.18E-04,97.6,96.5,10,,,07/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042S,42841,,
Lemur-2-Rdeaton (Lemur 2-F25),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,02/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AZ,41995,,
Lemur-2-Redfern-Goes (Lemur 2-F21),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,397,408,8.12E-04,51.6,92.6,10,,,12/09/16,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,1998-067LA,42059,,
Lemur-2-RobMoore) (Lemur 2F33),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,476,490,1.02E-03,51.64,94.2,10,,,04/18/17,,Spire Global,USA,International Space Station - Cygnus,Nanoracks Deployer,2017-019E,42755,,
Lemur-2-Sam-Amelia (Lemur 2F39),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,509,9.46E-04,97.45,94.6,10,,,06/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036S,42781,,
Lemur-2-Satchmo (Lemur 2-F24),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,02/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AV,41991,,
Lemur-2-ShainaJohl (Lemur 2F34),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,94.6,10,,,06/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036G,24771,,
Lemur-2-Smita-Sharad (Lemur 2-F26),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,02/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AX,41993,,
Lemur-2-Sokolsky (Lemur 2-F14),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,498,507,6.55E-04,51.6,94.6,10,,,10/17/16,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062D,41872,,
Lemur-2-Spire-Minions (Lemur 2F23),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,02/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008AY,41994,,
Lemur-2-SpiroVision) (Lemur 2F32),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,477,489,8.76E-04,51.64,94.2,10,,,04/18/17,,Spire Global,USA,International Space Station - Cygnus,Nanoracks Deployer,2017-019D,42754,,
Lemur-2-Tachikoma (Lemur 2F29),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,507,8.00E-04,97.5,94.6,10,,,02/15/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV-XL,2017-008BC,41998,,
Lemur-2-Trutna (Lemur 2-F18),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,396,408,8.86E-04,51.6,92.6,10,,,12/09/16,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,1998-067LC,42067,,
Lemur-2-TrutnaHD (Lemur 2-F19),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,397,406,6.65E-04,51.6,92.6,10,,,12/09/16,,Spire Global,USA,International Space Station - Cygnus,Nanorack Deployer,1998-067LE,42069,,
Lemur-2-Wingo (Lemur 2-F17),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,498,507,6.55E-04,51.6,94.6,10,,,10/17/16,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062F,41874,,
Lemur-2-Xiaoqing (Lemur-2 F15),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Non-Polar Inclined,0,498,507,6.55E-04,51.6,94.6,10,,,10/17/16,,Spire Global,USA,Wallops Island Flight Facility,Antares 230,2016-062C,41871,,
Lemur-2-XueniTerence (Lemur 2F35),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,496,511,1.09E-03,97.45,94.6,10,,,06/23/17,,Spire Global,USA,Satish Dhawan Space Centre,PSLV,2017-036H,24772,,
Lemur-2-Zachary (Lemur 2F46),NR,USA,Spire Global Inc.,Commercial,Earth Observation,"Meteorology, Automatic Identification System (AIS)",LEO,Sun-Synchronous,0,587,597,7.18E-04,97.6,96.5,10,,,07/14/17,,Spire Global,USA,Baikonur Cosmodrome,Soyuz 2.1a,2017-042W,42845,,
"LilacSat-1 (QB50-CN02, Zidingxiang-1)",NR (10/17),China,Harbin Institute of Technology,Civil,Earth Science,,LEO,Non-Polar Inclined,0,402,403,7.38E-05,51.6,92.6,4,,,05/26/17,,Harbin Institute of Technology,China,International Space Station,Nanorack Deployer,1998-067ME,42725,Carries an Ion-Neutral Mass Spectrometer (INMS).,
"LilacSat-2 (CAS-3H, Zidingxiang-2)",NR,China,Harbin Institute/China Amateur Satellite - CAMSAT,Civil,Technology Development,,LEO,Sun-Synchronous,0,520,541,1.52E-03,97.47,95.24,11,,,09/19/15,,Harbin Institute of Technology,China,Taiyuan Launch Center,Long March 6,2015-049K,40908,Technology demonstration and carries amateur radio.,
Ling Qiao,NR,China,Xinwei Telecom Technology Company,Commercial,Technology Development,,LEO,Sun-Synchronous,0,779,808,2.02E-03,98.47,100.73,100,,,09/04/14,,Xinwei Telecom Technology Co/Tsinghua University,China,Jiuquan Satellite Launch Center,Long March 2D,2014-051A,40136,Test satellite for multimedial communications.,
"LINK (QB50-KR01, Little Intelligent Nanosatellite of KAIST)",NR (10/17),South Korea,Korean Advanced Institute of Science and Technology (KAIST),Government,Space Science,,LEO,Non-Polar Inclined,0,401,404,2.21E-04,51.6,92.4,3,,,05/18/17,.25 yrs.,Korean Advanced Institute of Science and Technology,South Korea,International Space Station,Nanorack Deployer,1998-067LV,42714,Equipped with an ion-neutral mass spectrometer and two Langmuir probes,
